,Unnamed: 0,likes_log,views_log,dislikes_log,comment_log,category_id_Autos & Vehicles,category_id_Comedy,category_id_Education,category_id_Entertainment,category_id_Film & Animation,category_id_Gaming,category_id_Howto & Style,category_id_Music,category_id_News & Politics,category_id_Nonprofits & Activism,category_id_People & Blogs,category_id_Pets & Animals,category_id_Science & Technology,category_id_Shows,category_id_Sports,category_id_Travel & Events,unpopular,popular
0,0,7.980023592310644,13.464179879394177,7.69484807238461,6.949856455000773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9.12085320547465,12.406700612806766,8.82864061741828,8.484463366793321,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,2,7.6357868613955855,12.304387397991158,6.1092475827643655,5.8664680569332965,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,3,7.434257382133135,10.232611427387571,3.555348061489413,5.1647859739235145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4,4,5.081404364984463,9.58726882194216,2.9957322735539913,3.951243718581428,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5,5,9.480367509189245,12.772195786074038,6.2324480165505225,7.168579897264035,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,6,6.956545443151568,11.63868548857906,3.0445224377234235,5.697093486505405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,7,9.781545881730883,13.76731351786198,8.073402968986406,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,8,9.498822124598528,12.535031009293794,5.3612921657094255,8.75605259917045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9,9,10.81997826441295,14.684540275922586,7.5595594960077,8.792549614177384,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,10,10.063606103428887,14.21678824438015,8.157943507105037,8.67812085552252,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,13.057583760538849,16.434953272607927,8.794521851788527,9.951801412814678,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,12,8.210124405164269,11.597634192897182,4.68213122712422,6.597145701886651,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,13,10.808595995007712,13.328918905043242,7.594381242551818,8.286773231131251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,14,10.300550796963453,14.034609139407197,7.878534196140362,8.321907968230423,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15,15,9.976598599353453,14.437547806216026,7.581209826196346,7.653969180478773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,16,11.260353102965205,14.564196508114922,7.536363938404511,8.41847721847708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,17,3.951243718581428,9.353054474175359,2.079441541679836,3.4011973816621555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
18,18,5.303304908059076,11.602976384533141,2.7080502011022096,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
19,19,8.390268497842571,12.765279778548978,4.948759890378168,5.817111159963203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,20,10.129387302044057,13.010398881168141,6.5666724298032415,7.170119543449628,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,21,9.143559338285833,12.328347798723982,5.056245805348309,7.1569563646156364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,22,12.582397263891922,15.201417844180341,9.360913230455557,10.096048177372543,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23,23,7.085901464365611,11.316910581044269,3.951243718581428,5.272999558563747,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24,24,7.276556402718709,10.644543556617958,3.9318256327243257,5.594711379601838,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,25,14.174361931760373,17.407975445162876,10.241743910950845,11.519523648998456,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,26,4.30406509320417,10.152415802824065,2.4849066497880004,4.143134726391533,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
27,27,5.843544417031361,8.931155429778348,0.6931471805599453,3.0910424533583165,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28,28,11.074668534037073,13.647914053490805,6.439350371100098,8.372398606513004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
29,29,9.218804450388312,12.66544812050234,4.653960350157523,5.805134968916487,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30,30,11.245124448111596,14.923388784926539,7.965892735084528,8.766394277049736,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
31,31,9.867186572809796,13.046367470376403,5.976350909297934,7.742835955430748,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32,32,10.835710686940999,15.376043689660714,7.029087564149663,9.060331104649476,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
33,33,9.094929520464856,12.838359864083355,5.14166355650266,5.814130531825067,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
34,34,5.5683445037610975,10.33695685705389,4.189654742026425,3.912023005428147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,35,10.738611611991622,16.436695044194884,8.496786381638575,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36,36,10.093653263353133,12.980129081279808,6.569481420414296,7.776535028185241,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,37,12.095621416372595,14.717761998569276,7.357556200910352,9.390492911485296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,38,9.868637275100381,13.636949521542006,7.0958932210975325,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
39,39,10.304007118251278,13.304319867569571,5.703782474656202,6.118097198041347,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,40,8.454466361507933,11.572956969751056,5.267858159063328,5.983936280687192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41,41,9.930810848185017,13.348065253413415,6.941190055068375,7.668093709082407,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
42,42,9.966603186850204,12.860174897485829,5.869296913133774,7.352441100243581,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,43,12.078869757042275,14.712082139057989,6.925595197110468,8.741615924228826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
44,44,10.191032115533917,13.082124546144655,5.488937726156687,6.324358962381312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,45,8.863757191604241,12.15169565406384,4.727387818712341,5.666426688112433,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
46,46,5.2832037287379885,11.548939117922174,4.219507705176107,4.394449154672439,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
47,47,7.704811922932594,11.218487288021441,3.6375861597263857,5.0751738152338275,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
48,48,10.038804849483755,13.80573796131545,6.461468176353718,7.796057974316122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,49,10.128509338862113,12.843122907488231,7.014814351275545,7.8284363591575845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,50,6.001414877961151,11.092108111907391,4.060443010546419,5.170483995038151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51,51,8.779865100863853,13.628932756196773,5.958424693029783,7.85670679309584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
52,52,9.300912070160571,12.231272446551914,6.156978985585555,7.0958932210975325,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,53,8.433594167539924,12.645272291367965,5.049856007249537,5.918893854273146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,54,9.465680021506712,12.275995084835058,4.836281906951479,6.843749949006225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
